time,open,high,low,close,volume
2024-08-12T00:00:00-04:00,216.07,219.5,215.63,217.6,564185
2024-08-13T00:00:00-04:00,219.185,221.87,219.185,221.21,589109
2024-08-14T00:00:00-04:00,220.51,223.0,219.7,221.63,620996
2024-08-15T00:00:00-04:00,224.6,225.35,222.8,224.69,720255
2024-08-16T00:00:00-04:00,223.98,226.8,223.67,226.06,459595
2024-08-19T00:00:00-04:00,225.57,225.93,223.07,225.82,637982
2024-08-20T00:00:00-04:00,225.83,227.165,225.515,226.53,518769
2024-08-21T00:00:00-04:00,226.58,227.97,225.24,226.32,576993
2024-08-22T00:00:00-04:00,227.59,228.32,223.91,224.7,750261
2024-08-23T00:00:00-04:00,225.96,228.22,224.36,226.8,746287
2024-08-26T00:00:00-04:00,226.745,227.27,223.93,227.24,537463
2024-08-27T00:00:00-04:00,225.995,228.845,224.93,228.13,580021
2024-08-28T00:00:00-04:00,228.025,229.85,225.74,226.395,666448
2024-08-29T00:00:00-04:00,230.1,232.92,228.89,229.83,962928
2024-08-30T00:00:00-04:00,230.23,230.38,227.5,228.88,732245
2024-09-03T00:00:00-04:00,228.59,229.0,221.24,222.72,893528
2024-09-04T00:00:00-04:00,221.72,221.75,217.49,220.73,1276056
2024-09-05T00:00:00-04:00,221.64,225.47,221.64,222.29,666252
2024-09-06T00:00:00-04:00,223.94,225.23,219.83,220.95,1049899
2024-09-09T00:00:00-04:00,221.03,221.24,216.72,220.95,1606171
2024-09-10T00:00:00-04:00,218.86,221.455,216.78,220.1,957648
2024-09-11T00:00:00-04:00,221.29,223.07,217.91,222.56,844135
2024-09-12T00:00:00-04:00,222.39,223.535,219.84,222.85,677459
2024-09-13T00:00:00-04:00,223.79,224.0,222.0,222.42,637521
2024-09-16T00:00:00-04:00,216.6,217.2,213.94,216.46,1439907
2024-09-17T00:00:00-04:00,215.75,216.895,214.5,216.85,949661
2024-09-18T00:00:00-04:00,217.55,222.63,217.55,220.83,1204282
2024-09-19T00:00:00-04:00,225.095,229.795,224.65,228.905,2617911
2024-09-20T00:00:00-04:00,229.98,233.075,227.68,228.535,3617727
2024-09-23T00:00:00-04:00,227.18,229.44,225.85,226.49,1013326
2024-09-24T00:00:00-04:00,228.645,229.34,225.75,227.46,716012
2024-09-25T00:00:00-04:00,224.99,227.26,224.02,226.36,917606
2024-09-26T00:00:00-04:00,227.57,228.45,225.515,227.665,876871
2024-09-27T00:00:00-04:00,228.57,229.495,227.3,227.73,718703
2024-09-30T00:00:00-04:00,230.04,233.0,229.68,232.85,929770
2024-10-01T00:00:00-04:00,229.52,229.58,223.75,226.205,1491424
2024-10-02T00:00:00-04:00,226.095,227.35,223.03,226.77,813257
2024-10-03T00:00:00-04:00,225.14,226.805,223.33,225.6,790847
2024-10-04T00:00:00-04:00,227.92,227.96,224.17,226.69,920089
2024-10-07T00:00:00-04:00,224.47,225.68,221.33,221.74,818946
2024-10-08T00:00:00-04:00,224.26,225.97,223.28,225.79,746690
2024-10-09T00:00:00-04:00,225.17,229.745,224.92,229.51,684369
2024-10-10T00:00:00-04:00,227.8,229.49,227.17,229.03,455382
2024-10-11T00:00:00-04:00,229.395,229.395,227.37,227.51,544805
2024-10-14T00:00:00-04:00,228.72,231.73,228.65,231.3,691749
2024-10-15T00:00:00-04:00,233.635,237.49,232.4,233.93,1152069
2024-10-16T00:00:00-04:00,231.6,232.09,229.85,231.72,717358
2024-10-17T00:00:00-04:00,233.46,233.765,230.55,232.17,548744
2024-10-18T00:00:00-04:00,236.01,236.01,234.04,234.95,849948
